Program,Applicant ID,Category,z-score,Proposal
Bridge,44608478,Responsiveness,-0.546894779, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Appropriateness,-0.496081966, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Team Qualifications,0.187509513, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Market Impact,-0.322828689, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Impact Likelihood,0.188041217, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Translational Impacts,0.211851037, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Environmental Impacts,-0.671038298, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44608478,Relevance to NYS,-0.884998343, To Sequester Carbon from New York-Based Ore Mine Tailings for Cement Using an All-Electric Process
Bridge,44612480,Responsiveness,-1.16512366,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Appropriateness,-1.110278686,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Team Qualifications,-0.937547563,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Market Impact,-1.372021927,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Impact Likelihood,-1.907275198,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Translational Impacts,-1.624191281,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Environmental Impacts,-1.677595746,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44612480,Relevance to NYS,-0.556284673,A Widely Applicable Measurement Platform as a Bridge to Support the Carbon Removal Industry
Bridge,44610679,Responsiveness,-0.85600922,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Appropriateness,-1.110278686,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Team Qualifications,-0.562528538,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Market Impact,-1.022290848,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Impact Likelihood,-0.859616991,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Translational Impacts,-0.889774354,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Environmental Impacts,-0.335519149,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44610679,Relevance to NYS,0.101142668,Advancing mineral carbon storage in basalt through demonstration of a novel injection technology
Bridge,44612008,Responsiveness,0.998677423,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Appropriateness,1.346508194,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Team Qualifications,0.937547563,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Market Impact,1.076095629,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Impact Likelihood,0.886480022,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Translational Impacts,0.946267964,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Environmental Impacts,0.335519149,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44612008,Relevance to NYS,0.758570008,Biochar and microorganisms to accelerate soil restoration and atmospheric CO2eq reduction for a sustainable future of planet Earth 
Bridge,44610212,Responsiveness,0.071334102,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Appropriateness,0.118114754,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Team Qualifications,0.562528538,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Market Impact,-0.322828689,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Impact Likelihood,-0.161178186,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Translational Impacts,0.5790595,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Environmental Impacts,0.671038298,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610212,Relevance to NYS,1.087283679,Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova Fiber) for use in mass market applications. 
Bridge,44610688,Responsiveness,0.071334102,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44610688,Appropriateness,-0.803180326,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44610688,Team Qualifications,-0.562528538,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44610688,Market Impact,-0.322828689,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
