Program,Applicant ID,Category,Z score
Bridge,34862437,1,-0.70
Bridge,34862437,2,-0.53
Bridge,34862437,3,0.72
Bridge,34862437,4,-1.47
Bridge,34862437,5,-0.40
Bridge,34862437,6,-0.79
Bridge,34862437,7,-1.94
Bridge,34862437,8,0.95
Bridge,34862777,1,-0.17
Bridge,34862777,2,0.22
Bridge,34862777,3,0.72
Bridge,34862777,4,-0.55
Bridge,34862777,5,0.23
Bridge,34862777,6,-1.32
Bridge,34862777,7,0.83
Bridge,34862777,8,0.95
Bridge,34864571,1,1.42
Bridge,34864571,2,0.98
Bridge,34864571,3,0.72
Bridge,34864571,4,0.38
Bridge,34864571,5,0.23
Bridge,34864571,6,1.32
Bridge,34864571,7,-0.28
Bridge,34864571,8,0.37
Bridge,34877430,1,0.89
Bridge,34877430,2,0.98
Bridge,34877430,3,0.72
Bridge,34877430,4,-0.55
Bridge,34877430,5,0.85
Bridge,34877430,6,-0.26
Bridge,34877430,7,-0.28
Bridge,34877430,8,-0.21
Bridge,35104245,1,-1.75
Bridge,35104245,2,-1.67
Bridge,35104245,3,-2.54
Bridge,35104245,4,-1.01
Bridge,35104245,5,-1.64
Bridge,35104245,6,-1.32
Bridge,35104245,7,-1.39
Bridge,35104245,8,-2.54
Bridge,35150911,1,-1.23
Bridge,35150911,2,-2.05
Bridge,35150911,3,-1.45
Bridge,35150911,4,-1.01
Bridge,35150911,5,-0.40
Bridge,35150911,6,-1.32
Bridge,35150911,7,-0.28
Bridge,35150911,8,-1.37
Bridge,35153068,1,0.36
Bridge,35153068,2,0.98
Bridge,35153068,3,0.17
Bridge,35153068,4,0.84
Bridge,35153068,5,0.85
Bridge,35153068,6,1.32
Bridge,35153068,7,0.28
Bridge,35153068,8,0.37
Bridge,35167524,1,0.89
Bridge,35167524,2,0.22
Bridge,35167524,3,0.17
Bridge,35167524,4,-0.08
Bridge,35167524,5,0.23
Bridge,35167524,6,0.26
Bridge,35167524,7,0.28
Bridge,35167524,8,0.95
Bridge,35169461,1,0.36
Bridge,35169461,2,-0.53
Bridge,35169461,3,-0.37
Bridge,35169461,4,0.38
Bridge,35169461,5,-1.02
Bridge,35169461,6,-1.32
Bridge,35169461,7,-0.28
Bridge,35169461,8,-0.21
