Program,Applicant ID,Category,Full Category,z-score,Proposal
Bridge,34862437,1,Responsiveness,-0.70,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,2,Appropriateness,-0.53,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,3,Team Qualification,0.72,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,4,Market Impact,-1.47,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,5,Impact Likelihood,-0.40,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,6,Translational Impacts,-0.79,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,7,Environmental Impacts,-1.94,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862437,8,Relevancy to NYS,0.95,"Recycled, Local CO2 to Sustainable Aviation Fuel for a Better New York"
Bridge,34862777,1,Responsiveness,-0.17,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,2,Appropriateness,0.22,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,3,Team Qualification,0.72,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,4,Market Impact,-0.55,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,5,Impact Likelihood,0.23,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,6,Translational Impacts,-1.32,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,7,Environmental Impacts,0.83,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34862777,8,Relevancy to NYS,0.95,Forestry & Agricultural Waste to a refined biofuel & biochar (Sequestered Carbon)
Bridge,34864571,1,Responsiveness,1.42,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,2,Appropriateness,0.98,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,3,Team Qualification,0.72,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,4,Market Impact,0.38,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,5,Impact Likelihood,0.23,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,6,Translational Impacts,1.32,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,7,Environmental Impacts,-0.28,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34864571,8,Relevancy to NYS,0.37,Membrane-less Electrolyzer Co-Capture of CO2 and Mg(OH)2 from Seawater
Bridge,34877430,1,Responsiveness,0.89,A Bridge for Integrating CO2 Removal and Measurement in Water: from Pilot to Commercial
Bridge,34877430,2,Appropriateness,0.98,A Bridge for Integrating CO2 Removal and Measurement in Water: from Pilot to Commercial
