Applicant ID,Program,"Average of Responsiveness to RFP 
(5 points)",Q1 Z Score,"Average of Appropriateness of Proposed Activities 
(20 points)",Q2 Z Score,"Average of Team Qualification 
(10 points)",Q3 Z Score,"Average of Potential Market Impact 
(20 points)",Q4 Z Score,"Average of Likelihood of Market Impacts 
(20 points) ",Q5 Z Score,"Average of Likelihood of Translational Impacts 
(10 points) ",Q6 Z Score,"Average of Potential Environmental Impacts 
(10 points)",Q7 Z Score,"Average of Relevancy to NYS 
(5 points)",Q8 Z Score,Average of Total
34862437,Bridge Carbontech,3.33,-0.70,12.00,-0.53,8.67,0.72,10.67,-1.47,13.33,-0.40,6.00,-0.79,5.33,-1.94,4.33,0.95,63.67
34862777,Bridge Carbontech,3.67,-0.17,14.67,0.22,8.67,0.72,13.33,-0.55,14.67,0.23,5.33,-1.32,8.67,0.83,4.33,0.95,73.33
34864571,Bridge Carbontech,4.67,1.42,17.33,0.98,8.67,0.72,16.00,0.38,14.67,0.23,8.67,1.32,7.33,-0.28,4.00,0.37,81.33
34877430,Bridge Carbontech,4.33,0.89,17.33,0.98,8.67,0.72,13.33,-0.55,16.00,0.85,6.67,-0.26,7.33,-0.28,3.67,-0.21,77.33
35104245,Bridge Carbontech,2.67,-1.75,8.00,-1.67,4.67,-2.54,12.00,-1.01,10.67,-1.64,5.33,-1.32,6.00,-1.39,2.33,-2.54,51.67
35150911,Bridge Carbontech,3.00,-1.23,6.67,-2.05,6.00,-1.45,12.00,-1.01,13.33,-0.40,5.33,-1.32,7.33,-0.28,3.00,-1.37,56.67
35153068,Bridge Carbontech,4.00,0.36,17.33,0.98,8.00,0.17,17.33,0.84,16.00,0.85,8.67,1.32,8.00,0.28,4.00,0.37,83.33
35167524,Bridge Carbontech,4.33,0.89,14.67,0.22,8.00,0.17,14.67,-0.08,14.67,0.23,7.33,0.26,8.00,0.28,4.33,0.95,76.00
35169461,Bridge Carbontech,4.00,0.36,12.00,-0.53,7.33,-0.37,16.00,0.38,12.00,-1.02,5.33,-1.32,7.33,-0.28,3.67,-0.21,67.67
35171136,Bridge Carbontech,3.67,-0.17,17.33,0.98,8.00,0.17,18.67,1.30,14.67,0.23,7.33,0.26,8.67,0.83,3.67,-0.21,82.00
35176373,Bridge Carbontech,3.00,-1.23,10.67,-0.91,6.67,-0.91,13.33,-0.55,12.00,-1.02,6.00,-0.79,6.00,-1.39,3.00,-1.37,60.67
35183040,Bridge Carbontech,3.67,-0.17,9.33,-1.29,6.67,-0.91,10.67,-1.47,9.33,-2.26,6.67,-0.26,5.33,-1.94,3.33,-0.79,55.00
35184181,Bridge Carbontech,4.00,0.36,16.00,0.60,8.00,0.17,13.33,-0.55,16.00,0.85,7.33,0.26,8.00,0.28,3.67,-0.21,76.33
35185133,Bridge Carbontech,3.67,-0.17,10.67,-0.91,8.00,0.17,14.67,-0.08,14.67,0.23,7.33,0.26,8.67,0.83,3.67,-0.21,71.33
35187756,Bridge Carbontech,2.67,-1.75,13.33,-0.15,6.00,-1.45,10.67,-1.47,10.67,-1.64,5.33,-1.32,8.00,0.28,3.33,-0.79,60.00
35188732,Bridge Carbontech,4.33,0.89,16.00,0.60,6.67,-0.91,17.33,0.84,14.67,0.23,7.33,0.26,7.33,-0.28,3.33,-0.79,77.00
35188744,Bridge Carbontech,4.33,0.89,18.67,1.36,9.33,1.26,18.67,1.30,18.67,2.09,9.33,1.84,9.33,1.39,4.00,0.37,92.33
35188873,Bridge Carbontech,4.33,0.89,17.33,0.98,9.33,1.26,18.67,1.30,14.67,0.23,8.00,0.79,9.33,1.39,4.67,1.53,86.33
35189192,Bridge Carbontech,3.00,-1.23,10.67,-0.91,7.33,-0.37,17.33,0.84,14.67,0.23,6.67,-0.26,7.33,-0.28,4.33,0.95,71.33
35189999,Bridge Carbontech,5.00,1.95,17.33,0.98,9.33,1.26,20.00,1.76,17.33,1.47,9.33,1.84,10.00,1.94,4.33,0.95,92.67
35190352,Bridge Carbontech,4.00,0.36,17.33,0.98,9.33,1.26,17.33,0.84,14.67,0.23,8.00,0.79,7.33,-0.28,4.67,1.53,82.67
35219564,Bridge Carbontech,3.33,-0.70,10.67,-0.91,8.00,0.17,12.00,-1.01,14.67,0.23,6.67,-0.26,8.00,0.28,3.67,-0.21,67.00
